id,category_id,gender,min_age,max_age
2068,410,female,1,4
2071,410,female,25,34
2073,411,female,18,24
2078,408,female,25,34
2089,69,female,18,24
2090,411,female,65,
2101,411,female,65,
2135,408,female,25,34
2105,410,female,25,34
2106,83,female,18,24
2108,408,female,35,44
2111,63,female,35,44
2115,83,female,55,64
2127,69,female,45,54
2128,412,female,35,44
2129,411,female,55,64
2136,411,female,55,64
2137,408,female,25,34
2139,63,female,25,34
2141,83,female,25,34
2143,69,female,45,54
2144,411,female,55,64
2145,408,female,25,34
2151,69,female,45,54
2152,83,female,25,34
2162,69,female,45,54
2163,411,female,55,64
2165,408,female,25,34
2166,411,female,55,64
2167,408,female,25,34
2168,408,female,25,34
2169,408,female,35,44
2179,69,female,55,64
2183,411,female,45,54
2184,412,female,65,
2185,412,female,65,
2192,69,female,25,34
2194,409,female,45,54
2229,408,female,35,44
2198,410,female,18,24
2203,411,female,55,64
2204,409,female,25,34
2210,69,female,45,54
2211,69,female,45,54
2214,408,female,35,44
2215,83,female,65,
2218,69,female,25,34
2224,408,female,45,54
2226,410,female,11,17
2230,69,female,45,54
2231,410,female,25,34
2235,410,female,1,4
2240,408,female,25,34
2245,63,female,25,34
2247,69,female,55,64
2250,408,female,45,54
2263,63,female,35,44
2264,411,female,65,
2266,69,female,35,44
2267,408,female,25,34
2268,411,female,55,64
2270,408,female,25,34
2274,69,female,18,24
2275,408,female,18,24
2277,63,female,18,24
2280,408,female,25,34
2283,408,female,45,54
2284,409,female,0,1
2285,408,female,25,34
2286,408,female,25,34
2289,408,female,25,34
2291,411,female,55,64
2292,69,female,18,24
2293,408,female,55,64
2294,69,female,25,34
2295,69,female,25,34
2296,408,female,25,34
2298,69,female,18,24
2299,408,female,25,34
2300,411,female,55,64
2301,408,female,25,34
2304,69,female,25,34
2306,408,female,35,44
2308,408,female,25,34
2310,408,female,25,34
2311,408,female,35,44
2312,69,female,25,34
2314,411,female,45,54
2315,408,female,18,24
2316,408,female,25,34
2318,408,female,25,34
2320,410,female,18,24
2321,69,female,35,44
2322,408,female,25,34
2324,69,female,18,24
2325,409,female,18,24
2326,409,female,25,34
2329,410,female,11,17
2332,69,female,35,44
2336,63,female,25,34
2337,409,female,25,34
2338,69,female,45,54
2340,408,female,25,34
2342,408,female,35,44
2343,408,female,25,34
2344,408,female,25,34
2348,409,female,18,24
2345,408,female,25,34
2346,408,female,25,34
2347,408,female,25,34
2349,408,female,1,4
2350,408,female,25,34
2351,63,female,25,34
2353,63,female,35,44
2354,408,female,25,34
2356,408,female,25,34
2357,69,female,25,34
2359,408,female,25,34
2415,411,female,65,
2363,69,female,18,24
2417,408,female,25,34
2372,409,female,35,44
2373,69,female,25,34
2374,408,female,25,34
2376,408,female,25,34
2377,408,female,35,44
2379,69,female,35,44
2381,69,female,18,24
2382,408,female,35,44
2387,408,female,25,34
2391,408,female,25,34
2392,69,female,25,34
2394,412,female,65,
2395,69,female,25,34
2397,69,female,25,34
2398,69,female,25,34
2399,69,female,25,34
2400,69,female,25,34
2403,69,female,25,34
2405,408,female,25,34
2406,69,female,18,24
2413,411,female,55,64
2419,408,female,25,34
2421,408,female,25,34
2422,411,female,55,64
2423,411,female,55,64
2424,408,female,25,34
2425,69,female,25,34
2426,408,female,25,34
2427,408,female,25,34
2428,408,female,25,34
2429,69,female,25,34
2432,408,female,25,34
2434,411,female,55,64
2439,69,female,25,34
2440,69,female,35,44
2444,408,female,55,64
2449,408,female,25,34
2450,410,female,25,34
2451,408,female,25,34
2452,408,female,25,34
2453,410,female,18,24
2456,410,female,1,4
2457,408,female,25,34
2460,408,female,25,34
2461,410,female,25,34
2462,408,female,25,34
2463,409,female,25,34
2469,408,female,35,44
2475,408,female,35,44
2478,69,female,25,34
2488,408,female,45,54
2490,63,female,35,44
2493,63,female,55,64
2495,63,female,55,64
2496,63,female,35,44
2498,408,female,55,64
2499,63,female,45,54
2500,408,female,45,54
2501,63,female,35,44
2516,63,female,18,24
2536,408,female,25,34
2549,409,female,18,24
2620,411,female,65,
2644,408,female,55,64
2628,411,female,65,
2652,408,female,35,44
2658,408,female,35,44
2674,408,female,35,44
2677,408,female,35,44
2687,408,female,35,44
2697,63,female,18,24
2698,63,female,18,24
2707,408,female,55,64
2721,408,female,35,44
2738,408,female,55,64
2742,69,female,55,64
2734,408,female,18,24
2768,408,female,35,44
2770,408,female,18,24
2777,410,female,5,10
2782,408,female,35,44
2783,408,female,45,54
2788,69,female,18,24
2790,408,female,45,54
2794,411,female,65,
2797,69,female,25,34
2799,408,female,25,34
2801,69,female,25,34
2804,408,female,25,34
2805,408,female,18,24
2810,408,female,25,34
2813,408,female,35,44
2814,69,female,25,34
2815,408,female,35,44
2818,408,female,35,44
2819,408,female,35,44
2820,408,female,25,34
2822,408,female,25,34
2828,408,female,25,34
2834,69,female,25,34
2836,63,female,25,34
2837,63,female,25,34
2842,411,female,55,64
2853,408,female,35,44
2858,83,female,35,44
2877,408,female,45,54
2888,408,female,45,54
2854,408,female,25,34
2866,408,female,25,34
2872,408,female,25,34
2885,408,female,35,44
2901,412,female,65,
2905,408,female,35,44
2906,408,female,35,44
2846,408,female,65,
2859,83,female,35,44
2873,69,female,45,54
2887,410,female,25,34
2902,408,female,35,44
2884,408,female,45,54
2891,408,female,55,64
2893,410,female,18,24
2894,408,female,35,44
2904,408,female,35,44
2907,69,female,35,44
2914,408,female,35,44
2915,408,female,45,54
2917,408,female,18,24
2883,69,female,25,34
2899,69,female,25,34
2912,408,female,25,34
2920,408,female,35,44
2921,83,female,1,4
2925,408,female,55,64
2926,69,female,25,34
2927,408,female,35,44
2929,408,female,25,34
2930,408,female,45,54
2931,408,female,35,44
2932,408,female,35,44
2935,408,female,35,44
2936,408,female,65,
2937,408,female,35,44
2941,69,female,1,4
2942,69,female,25,34
2946,408,female,45,54
2947,408,female,18,24
2948,408,female,25,34
2949,408,female,25,34
2952,63,female,25,34
2953,408,female,35,44
2954,408,female,35,44
2956,408,female,45,54
2957,408,female,45,54
2959,410,female,35,44
2960,410,female,35,44
2967,408,female,18,24
2969,408,female,25,34
2970,408,female,45,54
2972,408,female,55,64
2973,408,female,45,54
2974,408,female,45,54
2975,410,female,45,54
2976,408,female,55,64
2982,408,female,18,24
2984,408,female,45,54
2985,408,female,45,54
2986,408,female,25,34
2987,408,female,55,64
2989,408,female,25,34
