Retailer,Product Name,Date and time,Indirect Sales
Amazon,Aveeno Baby Eczema Therapy Moisturizing Cream For Dry Skin 7.3 Oz.,11/26/17 15:25,ndi
Amazon,Aquaphor Baby Diaper Rash Cream 3.5 Ounce (Pack of 3),12/18/17 5:54,ndi
Amazon,Boiron Camilia Baby Teething Relief 30 Doses. Teething Drops for Painful Gums Irritability. Benzocaine and Preservative-Free Sterile Single Oral L,12/18/17 5:54,ndi
Amazon,Energizer AAA Batteries Triple A Battery Max Alkaline (24 Count) E92BP-24,12/18/17 5:56,ndi
Amazon,Seventh Generation Dish Liquid Free & Clear 25 oz (Pack of 6),12/20/17 7:25,ndi
Amazon,Eucalyptus 100% Pure Best Therapeutic Grade Essential Oil - 10ml,12/21/17 14:07,ndi
Amazon,Lemongrass - 100% Pure Best Therapeutic Grade Essential Oil - 10ml,12/21/17 14:07,ndi
Amazon,A&D Original Diaper Ointment 4 Ounce (Pack of 4) (Packaging May Vary),12/26/17 15:38,ndi
Amazon,Mr. Pumice Callus Remover Pumi Bar: Pedicure Stone & Foot Scrubber - Medium Grit (4 Pack Assorted Colors),1/19/18 12:25,ndi
Amazon,Infants' Tylenol Oral Suspension Fever Reducer and Pain Reliever Cherry 2 fl oz,1/22/18 5:25,ndi
Amazon,Naipo Shiatsu Back and Neck Massager with Heat Deep Kneading Massage for Neck Back Shoulder Legs and Foot Use at Home Car Office,2/8/18 20:45,ndi
Amazon,Neosporin Antibiotic Original Ointment 0.50 oz (Pack of 2),2/20/18 16:10,ndi
Amazon,Pampers Sensitive Water Baby Wipes 7X Refill Packs 448 Count,2/27/18 5:30,ndi
Amazon,Cottonelle CleanCare Family Roll Toilet Paper (Pack of 36 Rolls) Bath Tissue with Clean Ripple Texture Sewer and Septic Safe. 250 sheets/roll,3/20/18 11:58,ndi
Amazon,Bounty Select-a-Size Paper Towels White 12 Huge Rolls,3/20/18 11:58,ndi
Amazon,Playtex Gloves Playtex Living Medium (3-Pack),3/30/18 13:13,ndi
Amazon,Vaseline Petroleum Jelly Baby 13 Ounce,4/21/18 12:21,ndi
Amazon,Pampers Baby-Dry Disposable Diapers Size 5 112 Count GIANT,4/25/18 4:20,ndi
Amazon,Pampers Baby-Dry Disposable Diapers Size 5 112 Count GIANT,4/25/18 4:22,ndi
Amazon,Kleenex Ultra Soft & Strong Facial Tissues; 50 Tissues per Cube Box; 4 Pack,5/8/18 8:57,ndi
Amazon,WaterWipes Sensitive Baby Wipes 9 Packs of 60 Count (540 Count),5/8/18 11:02,ndi
Amazon,HUGGIES OverNites Diapers Size 3 68 ct. BIG PACK Overnight Diapers (Packaging May Vary),5/8/18 11:02,ndi
Amazon,Fitbit Zip Wireless Activity Tracker Charcoal,10/4/16 6:57,di
Amazon,Boiron Camilia Baby Teething Relief 30 Doses. Teething Drops for Painful Gums Irritability. Benzocaine and Preservative-Free Sterile Single Oral L,8/15/17 18:43,di
Amazon,23andMe DNA Test - Health + Ancestry Personal Genetic Service - 75+ Online Reports - includes at-home saliva collection kit,12/19/17 16:39,di
Amazon,23andMe DNA Test - Health + Ancestry Personal Genetic Service - 75+ Online Reports - includes at-home saliva collection kit,5/14/18 7:54,di
Amazon,23andMe DNA Test - Health + Ancestry Personal Genetic Service - 75+ Online Reports,7/11/17 21:38,di
Amazon,23andMe DNA Test Ancestry Personal Genetic Service - includes at-home saliva collection kit,12/13/17 19:13,di
Amazon,Women's Nike Free RN 2017 Running Shoe Black/White/Dark Grey/Anthracite Size 7.5 M US,9/6/17 9:43,ndi
Amazon,Fossil Kinley Small Crossbody Brown One Size,12/19/17 22:13,ndi
Amazon,Teva Tidepool Sport Sandal (Toddler/Little Kid/Big Kid) Navy/Yellow Print-T 2 M US Little Kid,2/12/18 11:55,ndi
Amazon,Capezio Daisy 205 Ballet Shoe (Toddler/Little Kid)Ballet Pink11 M US Little Kid,2/12/18 11:55,ndi
Amazon,KEEN Baby Moxie Gore Mary Jane Flat Black/Magnet 11 Toddler US Toddler,2/12/18 11:55,ndi
Amazon,Keds Ella Mary Jane Sneaker (Toddler/Little Kid)White11 M US Little Kid,2/12/18 11:55,ndi
Amazon,Womens Slipper Memory Foam Fluffy Slip-on House Suede Fur Lined/Anti-Skid Sole Indoor & Outdoor,5/8/18 10:20,di
Amazon,Bean Box Gourmet Coffee Sampler - (fresh roasted coffee gift box specialty whole bean 4 handpicked roasts personalized gift note),5/24/17 14:15,ndi
Amazon,CalNaturale Svelte Organic Protein Shake Chocolate 11 Ounce (Pack of 8),11/18/17 16:34,ndi
Amazon,AIVA - Cardamom Seeds (Decorticated Cardamom) (16 oz),12/10/17 10:50,ndi
Amazon,Lars' Own Swedish Pearl Sugar 10 oz Packages in Frustration Free Packaging (Pack of 2),12/10/17 10:50,ndi
Amazon,Albanese Candy Pink Grapefruit Gummi Bears 5-pound Bag,1/7/18 7:06,ndi
Amazon,Plum Organics Mighty 4 Organic Toddler Food Cherry Strawberry Black Bean Spinach and Oat 4.0 ounce pouch (Pack of 12),1/7/18 11:49,ndi
Amazon,Plum Organics Mighty 4 Organic Toddler Food Guava Pomegranate Black Bean Carrot and Oat 4.0 ounce (Pack of 12),1/7/18 11:49,ndi
Amazon,Dried Whole Hibiscus Flowers - Organically Grown -Perfect for Homemade Tea Blends Potpourri Bath Salts Gifts Crafts Wild Flower #4 (4 ounce),2/12/18 19:35,ndi
Amazon,Golden Flower Dried Lily Flowers 5oz Package,2/12/18 19:35,ndi
Amazon,TooGet Traditional Health Herbs Chrysanthemum Buds Tai Ju Organic Premium Golden Fetal Chrysanthemum Flower Floral Dried Herbal Wholesale Culinary,2/12/18 19:35,ndi
Amazon,12 Oz. Big Dried Fruit Jujube Chinese Red Dates Hong Zao Herbal Healthy Foods,2/12/18 19:35,ndi
Amazon,Ziploc Storage Bag Quart Value Pack 48 ct,5/8/18 8:57,ndi
Amazon,Nespresso Variety Pack for OriginalLine 50 Capsules 1.76 oz,12/16/16 12:53,ndi
Amazon,C&E 6 feet Outlet Saver Power Extension Cord NEMA 5-15R TO NEMA 5-15P,12/7/16 12:36,ndi
Amazon,Bluelounge CableDrop Mini White - Cable Management System for All Cables up to 5/16-inch,12/20/16 12:21,ndi
Amazon,My Audio Pet - Mini Bluetooth Wireless Speaker - PANDAmonium,12/17/16 11:46,di
Amazon,Wreck-It Ralph (Blu-ray 3D/Blu-ray/DVD + Digital Copy),12/20/16 12:21,ndi
Amazon,Jason Bourne (4K Ultra HD + Blu-ray + Digital HD),12/20/16 12:21,ndi
Amazon,Captain America: The First Avenger [Blu-ray],12/20/16 12:21,ndi
Amazon,The Peanuts Movie - 3D Collector's Edition [Blu-ray 3D + Blu-ray + DVD + Digital HD],12/20/16 12:21,ndi
Amazon,The Revenant [4K UHD Blu-ray],12/20/16 12:21,ndi
Amazon,HDE iPad Mini Kids Case Shockproof Handle Stand Cover for Apple iPad Mini 2/3 Retina (Green),11/21/17 3:40,ndi
Amazon,Elegoo Upgraded 37 in 1 Sensor Modules Kit with Tutorial for Arduino UNO R3 MEGA 2560 Nano 2016 new version,11/27/17 10:34,ndi
Amazon,Women's Push Up Deep V Nursing Bras 3PACK BlackPinkBeige L,5/29/17 17:48,ndi
Amazon,Make America Great Again - Donald Trump 2016 Campaign Cap Hat (002) Red,5/30/17 17:56,ndi
Amazon,Burt's Bees Baby Baby Organic Holiday Zip Sleeper Cranberry Rugby Stripe 3-6 Months,11/9/17 17:31,ndi
Amazon,Women's Sequins V-neck Ball Evening Prom Gown Bridesmaid Dress Bodycon Size US8 KK199-4,11/15/17 12:13,ndi
Amazon,Wrapables Peek A Boo Animal Non-Skid Toddler Socks (Set of 6) Zoo Animals (Small),12/9/17 5:14,ndi
Amazon,Jinson Women's Motherhood Maternity Tunic Tops Mama Clothes Flattering Side Ruching Long Sleeve Scoop Neck Pregnancy T-Shirt Red S,12/19/17 18:35,ndi
Amazon,RVCA Men's Set Up Hood Grey Noise Medium,12/19/17 21:54,ndi
Amazon,Casual Cotton Socks (Gift4Set),12/20/17 16:35,ndi
Amazon,Sierry 2 Pairs Womens Boot Leg Cuffs Leg Warmers Topper Socks Boot Socks for Women,12/23/17 11:32,ndi
Amazon,Argyle Reds Men's Cotton Blend Dress Socks  One Size,2/11/18 8:06,ndi
Amazon,UGG Men's Robinson Navy Heather L/XL,2/1/18 13:41,di
Amazon,AUKEY 20000mAh Portable Charger with Lightning and Micro-USB Input 3.4A Dual USB Output for iPhone 7/7 Plus Samsung and More,7/10/17 19:02,ndi
Amazon,iPhone X Case TORRAS [Lock Series] 3 in 1 Hybrid Hard Plastic Case Ultra Thin and Slim Anti-scratch Matte Finish Cover Case for Apple iPhone X - Red,12/18/17 12:48,ndi
Amazon,iRing Universal Masstige Ring Grip/Stand Holder for any Smart Device - Gold,12/18/17 12:48,ndi
Amazon,Pouch Attachment for Phone Case Fits ALL Bandolier Cases. Black Leather with Studded SILVER Details. Carrying Purse for Credit Cards & Essentials. Car,5/17/18 13:35,ndi
Amazon,Case For iPhone 8 PLUS 7 PLUS & 6 PLUS - Stylish SILVER Studs & Black Leather Wallet Phone Cover. Slim Cross-Body Strap Credit Cards Holder. Protecti,5/17/18 13:35,ndi
